date,US
11/9/21,46717677.0
11/10/21,46812696.0
11/11/21,46868214.0
11/12/21,47014759.0
11/13/21,47055763.0
11/14/21,47086117.0
11/15/21,47225248.0
11/16/21,47313095.0
11/17/21,47424824.0
11/18/21,47535172.0
11/19/21,47661037.0
11/20/21,47702697.0
11/21/21,47740610.0
11/22/21,47891371.0
11/23/21,47984089.0
11/24/21,48095733.0
11/25/21,48128487.0
11/26/21,48179798.0
11/27/21,48204537.0
11/28/21,48245644.0
11/29/21,48443057.0
11/30/21,48560532.0
12/1/21,48699138.0
12/2/21,48837582.0
12/3/21,48991240.0
12/4/21,49052520.0
12/5/21,49100155.0
12/6/21,49282515.0
12/7/21,49394625.0
12/8/21,49544295.0
12/9/21,49664988.0
12/10/21,49833964.0
12/11/21,49885157.0
12/12/21,49933337.0
12/13/21,50122435.0
12/14/21,50236542.0
12/15/21,50378175.0
12/16/21,50516465.0
12/17/21,50705659.0
12/18/21,50776013.0
12/19/21,50846828.0
12/20/21,51100782.0
